Crop,Variety,Breeder,Altitude_Zone,Maturity_Days,Yield_Bags_Per_Acre,Special_Attributes
Cowpeas,KVU 27-1,KALRO,Dryland,60-70,4-6,Dual purpose (grain and fodder); drought tolerant.
Cowpeas,M66,KALRO,Dryland/Medium,55-65,5-8,Early maturing; resistant to aphids and pod borers.
Sunflower,Kenya Fedha,Kenya Seed Company,Medium/Dryland,90-110,8-12,High oil content (40-45%); resistant to downy mildew.
Sunflower,H8998,Pannar Seeds,Medium,85-100,10-14,Hybrid; very high oil yield; uniform heads.
Coffee (Arabica),Ruiru 11,Coffee Research Institute,Medium/Highland,730-1000,15-25,Compact; resistant to CBD and leaf rust.
Coffee (Arabica),Batian,Coffee Research Institute,Medium/Highland,730-1000,20-30,Tall variety; excellent cup quality; disease resistant.
Macadamia,KRG 15,KALRO,Medium/Highland,1000-1500,30-50,High nut recovery; suited to central highlands.
Macadamia,Embu 1,KALRO,Medium/Highland,1000-1500,25-45,Good kernel quality; moderate yield.
Mango,Apple Mango,KALRO/HCDA,Coastal/Dryland,1000-1200,40-60,Most popular domestic variety; sweet and juicy.
Mango,Tommy Atkins,KALRO/HCDA,Coastal/Dryland,1000-1200,50-80,Export quality; good shelf life; disease tolerant.
Onion,Red Creole,Simlaw Seeds,Medium/Highland,90-120,120-160,Popular red onion; good storage quality.
Onion,Bombay Red,East Africa Seeds,Medium,100-130,100-140,Large bulb size; pungent flavor; high market value.
Cabbage,Gloria F1,East Africa Seeds,Medium/Highland,70-85,300-400,Compact heads; tolerant to black rot.
Cabbage,Copenhagen Market,Simlaw Seeds,Medium/Highland,80-95,250-350,Round heads; reliable open-pollinated variety.
Cotton,KSA 81M,KALRO,Dryland/Medium,150-180,10-15,Medium staple; adapted to western Kenya conditions.
Cotton,HART 89M,KALRO,Dryland,140-170,8-12,Good lint quality; tolerant to bacterial blight.
Pigeon Peas,ICEAP 00040,ICRISAT/KALRO,Dryland,150-180,6-8,Early maturing; resistant to fusarium wilt.
Pigeon Peas,KAT 60/8,KALRO,Dryland/Medium,120-150,5-7,Short-duration; good for intercropping with maize.
Rice (Upland),NERICA 1,WARDA/KALRO,Medium,90-100,15-20,Upland adapted; drought tolerant; good grain quality.
Rice (Upland),NERICA 10,WARDA/KALRO,Medium/Dryland,100-110,12-18,Resistant to blast; good milling quality.
Sisal,Hybrid 11648,KALRO,Dryland/Coastal,730-1000,8-12,High fibre yield; resistant to zebra disease.
Pyrethrum,P4,Pyrethrum Board of Kenya,Highland,180-240,3-5,High pyrethrin content; suited to highland conditions.
Pyrethrum,Clone 22,Pyrethrum Board of Kenya,Highland,180-240,4-6,High yielding clone; good flower production.
Coffee (Robusta),R7,Coffee Research Institute/KALRO,Medium/Highland,730-1000,12-18,High yielding; suited to western Kenya conditions; disease tolerant.
Coffee (Robusta),R2,Coffee Research Institute/KALRO,Medium,730-1000,10-15,Early bearing; good cup quality for local and export markets.
Rice (Lowland/Paddy),Komboka,KALRO,Medium/Lowland,100-115,20-28,High yielding paddy; resistant to blast; developed for Mwea and lowland Kenya.
Rice (Lowland/Paddy),Basmati 370,KALRO,Medium/Lowland,130-150,18-24,Aromatic long-grain; premium export market; suited to Mwea Irrigation Scheme.
Millet,Katumani Millet,KALRO,Dryland,75-90,6-8,Early maturing; highly drought tolerant; good grain quality.
Millet,EMBU Composite,KALRO,Medium,85-100,8-10,Higher yielding; suited to medium altitude rainfall areas.
Green Grams,N26,KALRO,Dryland/Medium,60-65,3-5,Early maturing; tolerant to drought; popular in eastern Kenya.
Green Grams,KS 20,KALRO,Medium,65-75,4-6,High yielding; good seed quality; resistant to yellow mosaic virus.
Soybeans,SB 19,KALRO,Medium/Highland,90-100,8-12,High protein content; disease resistant; good for oil and flour.
Soybeans,Gazelle,Pannar Seeds,Medium,95-110,10-14,High yielding hybrid; excellent grain quality; broad adaptation.
Spinach,Viroflay,Simlaw Seeds,Medium/Highland,40-50,60-80,Large dark leaves; continuous harvest; heat tolerant.
Spinach,Giant Nobel,East Africa Seeds,Medium/Highland,45-55,70-90,Vigorous growth; smooth leaves; good market demand.
Carrot,Nantes,Simlaw Seeds,Medium/Highland,70-80,80-100,Cylindrical roots; sweet flavor; excellent fresh market variety.
Carrot,Chantenay,Simlaw Seeds,Medium,75-90,70-90,Broad shoulders; good for heavy soils; reliable yield.
Capsicum,California Wonder,Simlaw Seeds,Medium/Highland,75-85,60-80,Large blocky fruits; excellent fresh market demand.
Capsicum,Yolo Wonder,East Africa Seeds,Medium,70-80,50-70,Open-pollinated; reliable yield; tolerant to tobacco mosaic virus.
Chilies,Pilipili Kichaa,Local/KALRO,Dryland/Medium,90-120,20-30,Very pungent; high market demand; drought tolerant.
Chilies,Cayenne Long,Simlaw Seeds,Medium,80-100,25-35,High yield; good for drying and fresh market.
Dhania,Desi Coriander,Local/KALRO,Medium/Highland,45-60,10-15,Fast maturing; aromatic; popular in fresh and dried form.
Garlic,Early Pink,Local/KALRO,Medium/Highland,120-150,20-30,Good bulb size; pungent flavor; stores well.
Garlic,Purple Stripe,Local,Highland,130-160,18-26,High allicin content; excellent storage; suited to cold highlands.
Snow Peas,Oregon Sugar Pod,East Africa Seeds,Medium/Highland,60-70,15-20,Flat edible pods; excellent export quality; disease tolerant.
Snow Peas,Mammoth Melting,Simlaw Seeds,Highland,65-75,16-22,Large pods; sweet flavor; suited to highland export production.
Arrow Root,Nduma Local,KALRO,Medium/Highland,270-365,50-80,Traditional variety; good corm size; suited to wet highland areas.
Banana,Williams,KALRO/HCDA,Medium/Highland,270-330,120-160,High yielding Cavendish type; good bunch weight; export quality.
Banana,Cavendish,KALRO,Coastal/Medium,240-300,100-140,Most popular commercial variety; excellent local and export demand.
Watermelon,Sugar Baby,Simlaw Seeds,Dryland/Medium,75-90,100-150,Small round fruits; sweet red flesh; popular local market.
Watermelon,Charleston Grey,Simlaw Seeds,Medium,80-95,120-180,Large oblong fruits; excellent taste; high yield.
Passion Fruit,Purple Passion,KALRO,Medium/Highland,365-548,50-80,Purple fruited; high juice content; good local and export market.
Passion Fruit,Yellow Passion,KALRO,Medium/Highland,270-365,60-90,Yellow fruited; more vigorous; tolerant to fusarium wilt.
Pixie Oranges,Pixie,KALRO/HCDA,Medium/Highland,1000-1500,80-120,Seedless; thin skin; excellent sweetness; high export demand.
Pixie Oranges,Washington Navel,KALRO,Medium,1000-1500,70-100,Large navel orange; seedless; good fresh market variety.
Pawpaw,Sunrise Solo,KALRO,Coastal/Medium,270-365,150-200,Small fruits; sweet orange flesh; high market demand.
Pawpaw,Wambugu F1,Local,Medium/Highland,300-365,130-180,Adapted to highland conditions; good disease tolerance.
Wambugu Apples,Wambugu,KALRO,Medium/Highland,730-1000,30-50,Kenya-adapted apple; does not require chilling; good local market.
Napier Grass,Clone 13,ICIPE/KALRO,Medium/Highland,90-120,200-300,Push-pull trap crop; high biomass; excellent fodder quality.
Napier Grass,Kakamega 1,KALRO,Medium,perennial,180-250,High dry matter yield; tolerant to head smut disease.
Lucerne,CUF 101,Local,Highland,60-90,80-120,High protein fodder; perennial; suited to irrigated highland production.
Lucerne,SA Karoo,Local,Medium/Highland,60-90,70-100,Drought tolerant; persistent stand; good protein content.
Sugarcane,CO 421,KESREF,Dryland/Medium,365-540,400-600,Medium staple; high sucrose content; adapted to western Kenya.
Sugarcane,N14,KESREF,Medium,365-540,450-650,High yielding; good ratoon ability; widely grown in Nyanza and Western.
Cashew Nuts,Giriama Red,KALRO,Coastal,1000-1500,10-15,High nut recovery; suited to coast conditions; good kernel quality.
Cashew Nuts,Muruku,KALRO,Coastal/Dryland,1000-1500,8-12,Early bearing; good shell weight; tolerant to powdery mildew.
Coconuts,East African Tall,KALRO,Coastal,1500-2000,80-120,Traditional variety; high nut yield; excellent adaptation to Kenya coast.
Coconuts,Malayan Dwarf,KALRO,Coastal,1200-1800,90-130,Early bearing dwarf; good for small farms; high copra content.
Maize,H625,Kenya Seed Company,Highland,150-180,32-40,Frost tolerant; resistant to grey leaf spot and northern blight; suited to cold highlands 1800-2500m.
Maize,H6213,Kenya Seed Company,Highland,150-200,40-54,High yielding; excellent ear rot and GLS resistance; large cobs; good standability 1500-2100m.
Maize,H626,Kenya Seed Company,Highland,150-190,40-50,Semi-dent; stays green at harvest for dual grain and fodder use; resistant to GLS.
Maize,H628,Kenya Seed Company,Highland,150-195,31-50,Late maturity; suited to cold and wet highland conditions 1600-2300m; good disease tolerance.
Maize,H629,Kenya Seed Company,Highland,150-190,36-45,Good standability; stays green; high potential highland zone 1500-2100m.
Maize,H623,Kenya Seed Company,Medium/Highland,120-150,31-40,Resistant to blight, rust, and grey leaf spot; good husk cover; medium altitude 1400-1700m.
Maize,H516,Kenya Seed Company,Lowland,80-110,13-22,Drought tolerant; MSV tolerant; suited for coastal and semi-arid lowlands below 1200m.
Maize,DH01,Kenya Seed Company,Dryland,90-120,27-40,Drought tolerant; MSV tolerant; semi-arid adapted 0-1500m; good for low-input farmers.
Maize,DH02,Kenya Seed Company,Dryland/Medium,90-120,27-40,MSV and GLS tolerant; drought tolerant; widely adapted to low-medium altitude 0-1500m.
Maize,DH03,Kenya Seed Company,Dryland,90-120,13-22,Drought tolerant; tolerant to leaf diseases; suitable for dryland short second season.
Maize,WH403,Western Seed Company,Medium,120-150,28-35,Prolific; excellent GLS and rust tolerance; good for silage; medium altitude 1200-1600m.
Maize,WH507,Western Seed Company,Medium/Highland,130-160,27-40,Tolerant to leaf diseases; good standability; widely adapted medium to high altitude 1000-1700m.
Maize,Ukamez-2,KALRO,Dryland/Medium,90-110,21-41,KEPHIS certified; drought tolerant; GLS and MSV resistant; dry mid altitude Eastern Kenya 800-1600m.
Maize,Ukamez-1,KALRO,Dryland,85-100,18-22,KEPHIS certified; early maturing; drought tolerant; suited to ASALs in Eastern Kenya.
Maize,Embu-537,KALRO,Medium/Highland,120-140,28-32,Medium altitude composite; consistent yield under Central Kenya conditions.
Maize,KH500-48A,KALRO,Dryland/Medium,90-110,20-25,KALRO open-pollinated hybrid; heat tolerant; widely adapted in eastern regions.
Maize,FAWTH2001,CIMMYT/KALRO,Medium/Highland,130-150,32-38,MLN-tolerant; developed in response to Maize Lethal Necrosis; KEPHIS listed.
Maize,FAWTH2002,CIMMYT/KALRO,Medium/Highland,125-145,30-36,MLN-tolerant; CIMMYT East Africa release; grey leaf spot resistant.
Maize,FAWTH2003,CIMMYT/KALRO,Medium/Highland,120-140,28-34,MLN-tolerant; combined resistance package; suited to highland Kenya.
Beans,Nyota,KALRO,Dryland/Medium,65-70,10-13,Navy bean type; iron-rich; KEPHIS certified; popular in export markets.
Beans,KAT B9,KALRO,Medium/Highland,70-75,12-14,Bush bean; resistant to anthracnose and angular leaf spot; good grain quality.
Beans,KAT X69,KALRO,Dryland,60-65,8-11,Small red bean; heat tolerant; suited to semi-arid lowland conditions.
Beans,Kenya Mali (KAT SW-12),KALRO,Medium,70-75,11-13,Speckled sugar bean; high market value; widely traded in Nairobi market chains.
Potato,Tigoni,KALRO,Highland,90-100,350-450,Late blight resistant; well adapted to cool highland conditions above 2000m.
Potato,Asante,KALRO,Medium/Highland,85-95,320-400,High yielding; good cooking quality; suited to medium altitude 1500-2000m.
Potato,Kenya Furaha,KALRO,Medium/Highland,90-100,340-420,Good taste; disease tolerant; KEPHIS certified; consistent yield.
Potato,Kenya Mpya,KALRO,Medium/Highland,85-95,300-380,New release; adapted to Central Kenya highlands; good storability.
Potato,Clone IG-70,CIP/KALRO,Highland,95-110,380-460,Virus resistant; developed by CIP for highland Kenya; high dry matter content.
Potato,Dutch Robijn,KARI-Tigoni,Highland,90-100,310-400,Classic highland variety released 1960s; high tuber uniformity; excellent crisping quality; tolerant to late blight; short dormancy.
Potato,Kenya Baraka,KARI-Tigoni,Highland,95-105,280-320,Oblong/round tubers; resistant to late blight and viruses; good storability; table and chips use; released 1973.
Potato,Sherekea,KARI/CIP,Medium/Highland,90-105,320-380,High yielding; good cooking quality; medium dormancy; suited to highlands 1400-3000m; released 2010.
Potato,Lenana,CIP/KALRO,Highland,90-105,320-400,Late blight tolerant; PVX and PLRV tolerant; dry matter 22%; good for French fries; upper highlands; released 2017.
Potato,Wanjiku,CIP/KALRO,Highland,100-120,400-480,Extremely tolerant to PVY; late blight tolerant; dry matter 21%; French fries and crisps; 1800-3000m; released 2017.
Potato,Nyota,CIP/KALRO,Highland,90-105,280-360,Late blight tolerant; heat tolerant; dry matter 20%; table variety; upper highlands; released 2017.
Potato,Chulu,CIP/KALRO,Highland,100-120,280-360,Late blight and PVX tolerant; heat tolerant; dry matter 24%; table and processing; widely adapted; released 2017.
Sweet Potato,Vitamu,KALRO,Medium/Highland,120-150,70-90,Orange-fleshed; dual purpose grain and fodder; KEPHIS certified; 1200-1800m; released 2015.
Sweet Potato,Kenspot-1,KARI Njoro,Highland,120-150,70-90,Orange-fleshed; high beta-carotene; suited to 1700-2300m; released 2013.
Sweet Potato,Kenspot-3,KARI Njoro,Highland,120-150,80-100,White-fleshed; high dry matter; good storability; 1900-2300m cold highland adapted; released 2013.
Coffee (Arabica),SL 28,Coffee Research Foundation,Medium/Highland,730-1000,18-28,Classic Kenyan cultivar (1935); large bean; excellent cup quality; drought tolerant; suited to 1300-1800m; susceptible to leaf rust.
Coffee (Arabica),SL 34,Coffee Research Foundation,Medium/Highland,730-1000,20-30,Classic Kenyan cultivar (1930s); bold bean; excellent cup quality; suited to high rainfall zones 1300-1800m; susceptible to leaf rust.
Coffee (Arabica),K7,Coffee Research Foundation,Medium/Highland,730-1000,15-22,Released 1936; partial leaf rust resistance; good cup quality; suited to medium altitude 1300-1600m.
Macadamia,EMB-3,KALRO-Thika,Medium/Highland,1400-1550,35-55,High first-grade nut ratio; good kernel recovery; KEPHIS certified; suited to Central Kenya highlands.
